task,label
1905.png,0.0
1906.png,0.0
1907.png,0.0
1908.png,0.0
1909.png,0.0
191.png,0.0
1910.png,0.0
1911.png,0.0
1912.png,0.0
1913.png,1.0
1914.png,0.0
1915.png,0.0
1916.png,0.0
1917.png,0.0
1918.png,0.0
1919.png,0.0
192.png,0.0
1920.png,0.0
1921.png,0.0
1922.png,0.0
1923.png,1.0
1924.png,1.0
1925.png,0.0
1926.png,0.0
1927.png,1.0
1928.png,0.0
1929.png,0.0
193.png,0.0
1930.png,0.0
1931.png,0.0
1932.png,1.0
1933.png,1.0
1934.png,0.0
1935.png,0.0
1936.png,0.0
1937.png,0.0
1938.png,0.0
1939.png,0.0
194.png,0.0
1940.png,0.0
1941.png,0.0
1942.png,0.0
1943.png,0.0
1944.png,0.0
1945.png,0.0
1946.png,0.0
1947.png,0.0
1948.png,0.0
1949.png,0.0
195.png,1.0
1950.png,0.0
1951.png,0.0
1952.png,0.0
1953.png,0.0
1954.png,0.0
1955.png,0.0
1956.png,0.0
1957.png,1.0
1958.png,0.0
1959.png,0.0
196.png,0.0
1960.png,0.0
1961.png,0.0
1962.png,0.0
1963.png,0.0
1964.png,0.0
1965.png,0.0
1966.png,0.0
1967.png,0.0
1968.png,0.0
1969.png,0.0
197.png,0.0
1970.png,0.0
1971.png,0.0
1972.png,0.0
1973.png,0.0
1974.png,1.0
1975.png,0.0
1976.png,0.0
1977.png,1.0
1978.png,1.0
1979.png,0.0
198.png,0.0
1980.png,1.0
1981.png,0.0
1982.png,1.0
1983.png,0.0
1984.png,0.0
1985.png,0.0
1986.png,0.0
1987.png,1.0
1988.png,0.0
1989.png,0.0
199.png,1.0
1990.png,0.0
1991.png,0.0
1992.png,0.0
1993.png,0.0
1994.png,0.0
1995.png,0.0
1996.png,0.0
1997.png,0.0
1998.png,0.0
1999.png,0.0
2.png,0.0
20.png,0.0
200.png,0.0
2000.png,0.0
2001.png,0.0
2002.png,0.0
2003.png,0.0
2004.png,0.0
2005.png,0.0
2006.png,0.0
2007.png,0.0
2008.png,1.0
2009.png,0.0
201.png,0.0
2010.png,0.0
2011.png,0.0
2012.png,0.0
2013.png,0.0
2014.png,0.0
2015.png,0.0
2016.png,0.0
2017.png,0.0
2018.png,0.0
2019.png,0.0
202.png,1.0
2020.png,0.0
2021.png,0.0
2022.png,0.0
2023.png,0.0
2024.png,1.0
2025.png,0.0
2026.png,0.0
2027.png,0.0
2028.png,0.0
2029.png,0.0
203.png,1.0
2030.png,0.0
2031.png,0.0
2032.png,1.0
2033.png,0.0
2034.png,0.0
2035.png,0.0
2036.png,0.0
2037.png,0.0
2038.png,0.0
2039.png,0.0
204.png,0.0
2040.png,1.0
2041.png,0.0
2042.png,1.0
2043.png,0.0
2044.png,0.0
2045.png,0.0
2046.png,1.0
2047.png,0.0
2048.png,0.0
2049.png,0.0
205.png,0.0
2050.png,1.0
2051.png,0.0
2052.png,0.0
2053.png,0.0
2054.png,0.0
2055.png,0.0
2056.png,0.0
2057.png,1.0
2058.png,0.0
2059.png,0.0
206.png,0.0
2060.png,0.0
2061.png,0.0
2062.png,0.0
2063.png,0.0
2064.png,1.0
2065.png,0.0
2066.png,0.0
2067.png,0.0
2068.png,0.0
2069.png,1.0
207.png,0.0
2070.png,0.0
2071.png,0.0
2072.png,0.0
2073.png,0.0
2074.png,0.0
2075.png,0.0
2076.png,0.0
2077.png,0.0
2078.png,0.0
2079.png,0.0
208.png,0.0
2080.png,0.0
2081.png,1.0
2082.png,0.0
2083.png,0.0
2084.png,0.0
2085.png,0.0
2086.png,0.0
2087.png,1.0
2088.png,0.0
2089.png,0.0
209.png,0.0
2090.png,0.0
2091.png,0.0
2092.png,0.0
2093.png,1.0
2094.png,0.0
2095.png,0.0
2096.png,1.0
2097.png,0.0
2098.png,0.0
2099.png,0.0
21.png,0.0
210.png,0.0
2100.png,0.0
2101.png,0.0
2102.png,0.0
2103.png,0.0
2104.png,0.0
2105.png,0.0
2106.png,0.0
2107.png,0.0
2108.png,0.0
2109.png,0.0
211.png,0.0
2110.png,0.0
2111.png,1.0
2112.png,0.0
2113.png,0.0
2114.png,0.0
2115.png,0.0
2116.png,0.0
2117.png,1.0
2118.png,0.0
2119.png,0.0
212.png,0.0
2120.png,0.0
2121.png,0.0
2122.png,0.0
2123.png,0.0
2124.png,0.0
2125.png,0.0
2126.png,0.0
2127.png,0.0
2128.png,0.0
2129.png,0.0
213.png,0.0
2130.png,0.0
2131.png,0.0
2132.png,1.0
2133.png,0.0
2134.png,0.0
2135.png,0.0
2136.png,0.0
2137.png,0.0
2138.png,0.0
2139.png,0.0
214.png,0.0
2140.png,0.0
2141.png,0.0
2142.png,0.0
2143.png,1.0
2144.png,0.0
2145.png,0.0
2146.png,0.0
2147.png,0.0
2148.png,0.0
2149.png,1.0
215.png,0.0
2150.png,0.0
2151.png,0.0
2152.png,0.0
2153.png,0.0
2154.png,0.0
2155.png,0.0
2156.png,0.0
2157.png,0.0
2158.png,0.0
2159.png,0.0
216.png,0.0
2160.png,0.0
2161.png,0.0
2162.png,0.0
2163.png,0.0
2164.png,0.0
2165.png,0.0
2166.png,0.0
2167.png,0.0
2168.png,0.0
2169.png,1.0
217.png,1.0
2170.png,0.0
2171.png,0.0
2172.png,0.0
2173.png,0.0
2174.png,0.0
2175.png,0.0
2176.png,0.0
2177.png,0.0
2178.png,0.0
2179.png,0.0
218.png,0.0
2180.png,0.0
2181.png,0.0
2182.png,0.0
2183.png,0.0
2184.png,1.0
2185.png,0.0
2186.png,0.0
2187.png,0.0
2188.png,0.0
2189.png,0.0
219.png,1.0
2190.png,0.0
2191.png,0.0
2192.png,0.0
2193.png,0.0
2194.png,0.0
2195.png,0.0
2196.png,0.0
2197.png,1.0
2198.png,0.0
2199.png,0.0
22.png,0.0
220.png,0.0
2200.png,0.0
2201.png,0.0
2202.png,0.0
2203.png,0.0
2204.png,0.0
2205.png,0.0
2206.png,0.0
2207.png,0.0
2208.png,0.0
2209.png,0.0
221.png,0.0
2210.png,0.0
2211.png,1.0
2212.png,0.0
2213.png,1.0
2214.png,0.0
2215.png,0.0
2216.png,0.0
2217.png,0.0
2218.png,0.0
2219.png,0.0
222.png,0.0
2220.png,0.0
2221.png,0.0
2222.png,0.0
2223.png,0.0
2224.png,0.0
2225.png,0.0
2226.png,0.0
2227.png,0.0
2228.png,0.0
2229.png,0.0
223.png,0.0
2230.png,0.0
2231.png,0.0
2232.png,1.0
2233.png,0.0
2234.png,0.0
2235.png,0.0
2236.png,0.0
2237.png,0.0
2238.png,0.0
2239.png,0.0
224.png,0.0
2240.png,1.0
2241.png,0.0
2242.png,0.0
2243.png,0.0
2244.png,0.0
2245.png,0.0
2246.png,0.0
2247.png,0.0
2248.png,1.0
2249.png,0.0
225.png,0.0
2250.png,0.0
2251.png,0.0
2252.png,0.0
2253.png,0.0
2254.png,0.0
2255.png,0.0
2256.png,0.0
2257.png,0.0
2258.png,0.0
2259.png,0.0
226.png,0.0
2260.png,0.0
2261.png,0.0
2262.png,1.0
2263.png,0.0
2264.png,0.0
2265.png,0.0
2266.png,0.0
2267.png,0.0
2268.png,0.0
2269.png,0.0
227.png,0.0
2270.png,0.0
2271.png,0.0
2272.png,0.0
2273.png,0.0
2274.png,1.0
2275.png,0.0
2276.png,0.0
2277.png,0.0
2278.png,0.0
2279.png,0.0
228.png,0.0
2280.png,0.0
2281.png,0.0
2282.png,0.0
2283.png,1.0
2284.png,0.0
2285.png,0.0
2286.png,0.0
2287.png,0.0
2288.png,0.0
2289.png,0.0
229.png,0.0
2290.png,0.0
2291.png,0.0
2292.png,0.0
2293.png,0.0
2294.png,0.0
2295.png,0.0
2296.png,0.0
2297.png,0.0
2298.png,0.0
2299.png,0.0
23.png,0.0
230.png,0.0
2300.png,1.0
2301.png,0.0
2302.png,0.0
2303.png,0.0
2304.png,0.0
2305.png,0.0
2306.png,0.0
2307.png,0.0
2308.png,0.0
2309.png,0.0
231.png,0.0
2310.png,0.0
2311.png,0.0
2312.png,0.0
2313.png,0.0
2314.png,0.0
2315.png,0.0
2316.png,0.0
2317.png,0.0
2318.png,0.0
2319.png,0.0
232.png,0.0
2320.png,0.0
2321.png,0.0
2322.png,0.0
2323.png,0.0
2324.png,0.0
2325.png,0.0
2326.png,0.0
2327.png,1.0
2328.png,0.0
2329.png,0.0
233.png,0.0
2330.png,1.0
2331.png,0.0
2332.png,0.0
2333.png,0.0
2334.png,0.0
2335.png,0.0
2336.png,0.0
2337.png,0.0
2338.png,0.0
2339.png,0.0
234.png,0.0
2340.png,0.0
2341.png,0.0
2342.png,1.0
2343.png,0.0
2344.png,1.0
2345.png,0.0
2346.png,0.0
2347.png,1.0
2348.png,0.0
2349.png,0.0
235.png,0.0
2350.png,0.0
2351.png,0.0
2352.png,0.0
2353.png,0.0
2354.png,0.0
2355.png,0.0
2356.png,0.0
2357.png,0.0
2358.png,0.0
2359.png,0.0
236.png,0.0
2360.png,0.0
2361.png,0.0
2362.png,0.0
2363.png,0.0
2364.png,0.0
2365.png,0.0
2366.png,0.0
2367.png,1.0
2368.png,0.0
2369.png,0.0
237.png,0.0
2370.png,1.0
2371.png,0.0
2372.png,0.0
2373.png,0.0
2374.png,0.0
2375.png,0.0
2376.png,0.0
2377.png,0.0
2378.png,0.0
2379.png,0.0
238.png,0.0
2380.png,0.0
2381.png,0.0
2382.png,0.0
2383.png,0.0
2384.png,0.0
2385.png,0.0
2386.png,0.0
2387.png,0.0
2388.png,0.0
2389.png,0.0
239.png,0.0
2390.png,0.0
2391.png,0.0
2392.png,0.0
2393.png,0.0
2394.png,0.0
2395.png,0.0
2396.png,0.0
2397.png,0.0
2398.png,0.0
2399.png,0.0
24.png,0.0
240.png,1.0
2400.png,0.0
2401.png,0.0
2402.png,0.0
2403.png,0.0
2404.png,0.0
2405.png,0.0
2406.png,0.0
2407.png,1.0
2408.png,0.0
2409.png,0.0
241.png,1.0
2410.png,0.0
2411.png,0.0
